Velo,SpinRate,HorzBreak,InducedVertBreak,PredictionChance
96.06,2113.0,10.62,10.88,0.2973802395787923
91.79,2073.0,12.12,15.01,0.2806990642920261
93.64,2066.0,5.87,16.29,0.25435086501470255
95.2,2045.0,15.77,9.69,0.3253435959335082
95.82,2388.0,4.86,19.2,0.22163111585666626
92.78,1935.0,19.37,4.62,0.3789180489059805
92.52,2329.0,6.2,13.44,0.2602810874119993
94.79,2187.0,8.15,16.87,0.251836512286032
94.37,2246.0,4.62,18.51,0.23087688877149556
90.34,1917.0,5.51,12.14,0.2856973063002017
92.12,2498.0,3.91,20.77,0.20843341283213143
94.12,1996.0,6.45,10.33,0.2941972913747179
89.38,2162.0,8.89,12.15,0.28490008516824333
95.16,2247.0,9.64,17.1,0.2520184053563397
92.73,2112.0,12.97,4.68,0.34678237026578845
90.19,2124.0,12.23,6.36,0.33372611123162443
94.3,2470.0,8.19,17.72,0.23544900680791994
94.53,2054.0,17.8,9.3,0.33452501765055903
94.26,2145.0,6.28,13.85,0.2656723560935996
96.19,2278.0,5.91,14.3,0.25529649382097025
96.26,2152.0,13.38,11.82,0.29827962163892413
97.11,2167.0,8.85,14.13,0.26942453821707485
96.5,2546.0,3.06,18.3,0.21506290692933933
94.45,2278.0,4.59,8.49,0.2860718709770911
88.24,2185.0,3.07,21.57,0.21586549142179667
90.6,2274.0,13.6,15.64,0.27264602946194627
91.99,2412.0,9.0,20.8,0.2247166720666476
95.37,2076.0,13.53,10.27,0.3126393743442987
96.35,2233.0,8.29,19.09,0.23748151768357295
92.98,2064.0,8.22,14.38,0.2725682626424503
94.29,2260.0,11.04,16.15,0.2612003651919217
96.65,2131.0,6.2,13.07,0.26957914761114493
94.2,2428.0,9.35,17.29,0.24275398300134982
91.93,2274.0,12.25,13.44,0.2810400097638758
92.26,2170.0,3.14,15.02,0.2497194858331366
98.67,2187.0,19.67,5.42,0.3579144758823657
90.73,2287.0,5.73,15.32,0.25092637329058914
95.97,2209.0,9.12,16.76,0.2537673917760523
93.82,2171.0,3.87,13.61,0.25904033176690394
94.5,2137.0,11.56,14.97,0.2750885018614892
93.92,2149.0,6.33,17.92,0.24292672129500306
91.62,2292.0,-1.53,13.78,0.23856124435061693
94.79,2256.0,4.19,14.94,0.2483726449607122
90.04,2140.0,6.21,13.17,0.27145550836145166
93.15,2494.0,11.3,13.64,0.2663765382936536
95.86,1995.0,14.76,5.95,0.34895849421298153
94.62,2402.0,9.35,17.95,0.24010650504441683
97.18,2714.0,8.99,9.06,0.2745077034103741
93.71,2505.0,2.79,19.69,0.21009322184541662
93.37,2195.0,2.65,20.35,0.2186413536063413
92.72,1976.0,15.64,-0.96,0.4026574669294401
93.99,2516.0,4.19,17.88,0.22221739037655636
92.91,2302.0,11.55,17.55,0.253461851137167
91.68,2093.0,6.16,16.87,0.2515569987679587
93.47,1884.0,17.38,2.74,0.38742415569671224
94.43,2104.0,5.57,19.44,0.2343529188097803
92.78,2124.0,14.84,10.04,0.3171923414088045
96.41,2358.0,5.29,16.62,0.23728591803098437
96.98,2345.0,15.0,17.21,0.261735599746627
95.29,2312.0,9.14,15.98,0.25397073435460393
90.33,2184.0,13.99,9.22,0.317830342248119
94.68,2391.0,10.17,19.24,0.23585506243331378
93.59,2062.0,14.72,4.94,0.353235231070591
95.74,2255.0,2.68,19.22,0.2211960521531089
92.1,2114.0,1.83,17.39,0.23563324728407284
94.73,2106.0,4.28,16.87,0.24447215156429034
97.66,2463.0,8.53,14.4,0.2535036403401585
93.21,1896.0,13.81,5.09,0.358059738162651
96.37,2172.0,7.56,17.85,0.2447628128959491
94.81,2074.0,13.8,12.13,0.3021330933920434
88.06,2128.0,11.04,10.09,0.30659056442175275
94.28,2224.0,11.17,16.96,0.25856698344034934
97.44,2427.0,12.29,4.26,0.32868845644936406
93.88,3024.0,11.38,13.43,0.24419689100733122
93.16,2354.0,8.02,19.23,0.232225974027724
94.18,2573.0,5.16,19.04,0.21650849276775633
92.18,2099.0,5.01,17.84,0.24252710084102452
95.2,2315.0,11.05,14.42,0.26834492469271914
92.29,2279.0,5.54,10.35,0.27871412645976634
97.34,2447.0,7.82,17.31,0.23639802734212612
96.15,2335.0,16.9,10.99,0.30577806083957265
95.71,1966.0,14.75,9.33,0.32808160434961875
94.3,2162.0,16.84,4.23,0.35973171287724587
94.36,2209.0,7.05,15.3,0.2567251319321253
98.18,2365.0,4.7,20.34,0.21548151682830563
95.48,2342.0,11.02,17.82,0.24767136898823452
96.55,2552.0,10.01,15.86,0.24617460622908657
94.88,2415.0,3.8,15.99,0.234825713609731
94.48,2182.0,17.58,8.8,0.3305314225899595
92.43,2083.0,3.33,15.54,0.2510720415184046
94.42,2257.0,6.86,15.19,0.25466299840323187
90.92,2314.0,10.5,13.03,0.27676007721686796
91.84,2489.0,12.45,13.48,0.2715050829612035
90.4,1979.0,7.02,19.52,0.24476674797554973
94.04,2292.0,13.71,14.71,0.2761408591859402
95.17,2573.0,3.15,19.73,0.20767003436489231
93.49,2245.0,6.7,15.42,0.25382406547645536
93.4,2709.0,2.54,11.02,0.24642485824459853
96.98,2156.0,15.67,3.45,0.35996681367099065
91.7,1985.0,6.88,21.07,0.23523717381903253
95.58,2512.0,9.0,20.47,0.22105009867923614
92.64,2311.0,6.5,17.39,0.23992181947163946
96.81,2246.0,9.0,16.31,0.25398273313595165
93.77,1994.0,3.47,14.47,0.2608738465693013
95.11,2264.0,11.82,14.02,0.2753612370451198
93.31,2134.0,5.91,14.58,0.2612884875953491
97.6,2250.0,14.17,14.02,0.28204221919796596
89.98,2227.0,8.5,10.29,0.29164752140897543
88.43,2170.0,15.2,12.37,0.30333502626204334
99.44,2290.0,20.84,6.38,0.3496159455463447
93.78,2204.0,11.44,12.98,0.28379097299682066
92.52,2038.0,6.31,18.71,0.2438496708199645
95.22,2372.0,4.24,18.43,0.22483437812961987
92.55,2078.0,8.79,16.39,0.2621375518594537
90.43,2212.0,9.54,4.86,0.3299610167145784
92.44,2219.0,3.87,4.98,0.30930250298287565
92.09,2283.0,3.96,17.89,0.23173588304721432
95.34,2522.0,6.91,15.24,0.24270495654119922
87.78,2285.0,9.94,18.68,0.2454790438328756
99.0,2152.0,8.51,18.53,0.24348385697760208
95.23,2530.0,8.02,12.03,0.26353313514254717
92.87,2257.0,1.41,16.39,0.23357723215906034
96.48,2266.0,13.85,12.62,0.2892641172755746
98.05,2114.0,17.05,10.36,0.32037653867426275
95.81,2299.0,13.23,14.33,0.2758506174257219
90.35,2217.0,13.37,15.77,0.27391847302863664
92.07,2507.0,7.09,4.23,0.31036428833959995
93.31,2235.0,11.97,14.05,0.277762128128152
92.86,2107.0,8.93,15.16,0.2682108402730701
95.03,2337.0,6.5,19.06,0.22902880882572402
96.51,2168.0,14.63,15.04,0.2816479056784429
94.86,2320.0,6.62,17.36,0.23915304526290146
96.19,2355.0,0.95,19.84,0.20961293464296316
94.02,2218.0,14.85,15.01,0.2812571788588694
94.34,2054.0,2.23,6.77,0.3000376715815608
94.41,2241.0,9.36,17.47,0.24973295594946002
98.67,2459.0,15.59,12.4,0.2858520454660597
98.06,2462.0,9.97,13.58,0.26218295472899633
84.66,1840.0,2.44,10.99,0.2893795548224583
95.38,2275.0,8.26,15.53,0.25557065576519555
90.05,2060.0,16.25,7.45,0.34344668631346803
91.31,2407.0,11.08,16.78,0.25250429556288956
96.55,2678.0,14.19,6.25,0.30990971513735355
92.63,2172.0,9.28,16.11,0.2609344033847081
89.84,2008.0,12.99,15.56,0.28396100657263007
92.99,2130.0,-0.83,16.24,0.23353876240845237
92.51,2165.0,11.48,8.29,0.31552820190879255
95.68,2544.0,9.06,18.7,0.2290236614782535
94.35,1969.0,2.96,19.66,0.2317668615272068
92.96,2485.0,4.09,18.73,0.21924563094921992
93.4,2176.0,17.37,7.29,0.3406335716431971
92.11,2100.0,6.88,14.18,0.26848282259479606
98.44,2244.0,20.98,5.3,0.3603592006406818
94.56,2305.0,5.94,18.29,0.23307858912223495
89.67,1906.0,16.88,-1.44,0.4161348838783802
95.15,2262.0,3.02,18.82,0.2240762828548882
93.83,2061.0,9.46,10.7,0.29836957451645085
95.36,2322.0,1.28,21.28,0.20497132958303058
95.92,2597.0,8.96,18.48,0.22765488377490514
91.56,2268.0,15.36,14.35,0.28552963215388183
86.26,1856.0,12.26,8.51,0.3353493003857034
93.5,2222.0,17.0,8.95,0.32605473419306874
94.29,1960.0,7.3,14.9,0.27096946812713063
94.64,3242.0,18.53,0.83,0.33163332524784606
94.93,2212.0,13.75,15.44,0.27524948239968583
95.75,2088.0,19.56,10.76,0.3284874495732498
99.34,2020.0,14.48,6.05,0.34430526289447627
95.58,2088.0,8.19,19.08,0.24369257908907352
93.72,2414.0,16.65,14.26,0.2822047201329313
97.87,2629.0,6.2,18.78,0.21691424833451972
92.67,2281.0,0.21,22.1,0.20091448619510738
96.8,2157.0,17.34,10.97,0.3158386209623728
94.76,2111.0,15.19,12.37,0.3032718661169141
93.17,2299.0,3.97,16.03,0.24061094939355523
92.83,2043.0,7.57,14.75,0.26949076779005676
94.64,2247.0,14.7,14.95,0.27953397296917415
92.97,1903.0,8.28,11.92,0.2951305477566251
98.95,2306.0,16.01,11.81,0.2979590688057875
91.4,2262.0,12.37,19.1,0.24950502874247957
93.96,1999.0,11.29,11.22,0.3038902066993656
91.25,2297.0,8.02,17.22,0.24621650419527072
90.41,2293.0,5.93,16.36,0.24561003587520971
93.83,2560.0,6.35,17.88,0.22617130678892072
93.42,2290.0,5.8,18.35,0.23344782808933795
94.78,2213.0,8.23,18.46,0.2421860846990182
95.42,2496.0,13.74,14.54,0.2672975995929846
92.59,2175.0,15.75,13.0,0.299000819552421
95.39,2231.0,12.7,14.61,0.2759215630766666
94.46,2308.0,13.43,17.31,0.259311691446026
96.37,2511.0,8.58,18.2,0.23145261765632316
89.99,2053.0,12.05,5.03,0.3457356807138689
91.33,2313.0,6.49,15.63,0.24997880502652653
96.57,2549.0,9.88,17.62,0.23639056895165694
93.5,2264.0,13.08,8.36,0.31487939966204437
97.13,2234.0,12.56,16.34,0.26451517798296603
92.57,2355.0,2.25,18.25,0.22223797430442152
95.24,2203.0,11.43,15.21,0.2699451770618441
95.66,1982.0,3.45,11.01,0.28078526380401914
95.81,2328.0,3.32,14.95,0.24239518817468914
94.05,2070.0,4.41,14.6,0.25935988802608134
95.24,2345.0,11.29,14.97,0.2644945956448866
88.52,1897.0,11.63,5.71,0.3486366967398073
96.13,2225.0,9.06,16.72,0.25305454063171257
95.99,2318.0,8.57,12.65,0.2708339742168865
94.07,2302.0,11.7,13.1,0.27915366818678583
96.77,2344.0,11.34,11.66,0.28352902330738217
91.98,2100.0,2.9,13.32,0.2618132638946966
97.23,2033.0,7.35,18.46,0.24643615859937373
92.59,2068.0,15.68,4.28,0.3612291617859827
93.18,2317.0,13.81,15.7,0.26984374169397773
95.23,2211.0,18.39,5.99,0.35008546516996786
96.01,2434.0,7.88,17.44,0.2369322026170495
94.61,2026.0,11.91,15.69,0.2769615781281944
89.67,2051.0,17.08,12.6,0.3132161383535536
94.77,2509.0,11.16,15.5,0.2540176749635492
92.13,2120.0,17.21,10.09,0.3251683026972684
91.98,2177.0,5.02,19.38,0.23112871273344376
91.62,2091.0,-0.82,17.83,0.22734085881956145
94.46,2399.0,2.5,18.81,0.2175865749758434
91.82,2263.0,8.88,19.23,0.2388747274413675
93.64,2153.0,8.18,17.83,0.2485309781055685
94.27,2258.0,5.29,16.28,0.24420578101012147
93.25,2524.0,4.97,19.36,0.21668032993389993
95.53,2099.0,12.29,15.01,0.2783632673415721
95.01,2175.0,14.94,11.72,0.3033023803565399
92.52,2183.0,5.19,19.86,0.22861102210594597
97.1,2063.0,6.75,16.18,0.2561909103843418
95.45,2237.0,9.16,19.94,0.2354895540068865
91.49,2320.0,-1.89,18.38,0.21274101414999036
94.23,2025.0,10.7,15.77,0.2730637216663028
90.74,2171.0,15.11,12.22,0.30287520729514056
93.21,1857.0,5.8,15.18,0.2700351240601105
94.78,1845.0,13.12,-2.51,0.41079853705717734
93.66,2228.0,13.55,12.24,0.2937389058268398
95.07,2203.0,17.74,10.66,0.31764475662578034
91.11,2068.0,11.48,12.26,0.29597594985374437
93.46,2338.0,12.02,16.27,0.2602344478383455
92.98,2039.0,15.47,8.17,0.3356839581066104
93.4,2164.0,3.23,18.08,0.23316872802098557
98.47,2120.0,17.99,5.64,0.3542659028301793
97.76,2518.0,11.14,17.25,0.2426802568043329
95.58,2659.0,7.56,19.85,0.21468926786505993
97.04,2268.0,6.7,18.19,0.23623422387564708
95.71,2433.0,16.76,11.04,0.3004351050322765
93.77,2547.0,3.6,20.56,0.2062349466384035
92.92,2410.0,4.99,19.43,0.22100667117509287
94.9,2235.0,11.05,16.3,0.26123101618478317
90.19,2095.0,8.94,16.19,0.26395918846780764
91.59,2348.0,13.46,15.96,0.2665693976822511
91.03,2196.0,13.24,7.74,0.3239847218922887
93.4,2417.0,2.18,18.03,0.22039696264106962
99.22,2463.0,12.88,17.29,0.24909209655691172
95.92,2381.0,7.27,15.67,0.2471486676001855
90.61,2080.0,15.1,9.24,0.3264726656281844
93.58,1986.0,19.2,13.56,0.3153770861371567
91.71,2079.0,14.89,11.94,0.30799627642831395
94.17,2118.0,6.39,13.39,0.26993235672044047
96.08,2059.0,14.93,10.09,0.31886587564217067
96.07,2605.0,10.54,17.33,0.237598506212039
98.52,2509.0,6.16,19.92,0.21555100255284984
95.11,2252.0,18.75,10.45,0.31982223545181365
94.56,2546.0,-0.02,20.73,0.19641320567084541
92.27,2109.0,10.2,18.7,0.25187655694675937
97.11,2475.0,5.51,19.45,0.21810848903750257
96.81,2388.0,16.78,8.22,0.3200873331455965
95.63,2362.0,5.09,16.33,0.23843729852561224
95.26,2070.0,13.04,15.24,0.2807368801225319
95.57,2288.0,1.99,20.91,0.20974893511768544
88.02,1742.0,14.57,10.75,0.3333428657748612
97.57,2444.0,4.39,17.02,0.22873846616837906
94.27,2363.0,4.56,19.21,0.22238066748863125
97.25,2238.0,8.58,14.51,0.26316260019569504
98.68,2424.0,3.3,19.32,0.21453346180045513
87.42,1852.0,15.43,11.5,0.3259654874561798
95.47,2588.0,10.44,17.7,0.2362911882645897
94.84,2400.0,6.21,15.41,0.24523424533952998
100.77,1822.0,13.36,4.85,0.3582822028836519
93.69,2411.0,10.39,16.43,0.25134677029752917
92.93,2083.0,18.29,14.22,0.3037754052704079
94.79,2405.0,8.99,18.35,0.23677604738806216
95.35,1981.0,4.83,16.07,0.25563716364388156
92.29,2264.0,3.64,20.32,0.2190189845598631
93.63,2166.0,8.0,17.48,0.24940447139906108
92.5,2090.0,10.29,18.28,0.2552249686774669
90.59,2008.0,14.91,9.02,0.33096236239836957
94.46,2283.0,10.57,15.88,0.26028005488335904
94.08,2394.0,6.49,17.37,0.23595297542064925
99.03,2530.0,5.33,18.27,0.22073654038738674
94.11,2643.0,12.24,17.73,0.2392796149270612
94.78,2223.0,2.02,18.65,0.2240393054463486
93.51,2161.0,14.39,9.89,0.31449437598128055
93.88,2523.0,5.21,17.21,0.2281221068808269
94.24,2225.0,7.09,15.95,0.2525322193535653
97.37,2201.0,11.09,13.5,0.27817277465203116
94.15,2019.0,15.74,3.22,0.3705651376135479
95.24,2131.0,9.31,16.63,0.25878817146021693
94.43,1960.0,15.16,11.23,0.3180370023478866
94.57,2093.0,14.23,14.47,0.2882548668153035
95.85,2689.0,3.36,16.83,0.21784793838726846
95.57,2210.0,11.56,17.14,0.2587535314097651
95.2,1964.0,4.32,14.98,0.26116799505138294
96.32,2363.0,2.93,10.31,0.26557106678850895
95.15,2229.0,17.3,10.06,0.3187200664001974
93.36,2163.0,7.93,17.94,0.24690418006114626
93.26,2041.0,16.24,6.35,0.3502059172300852
92.79,2430.0,11.91,12.12,0.28023935473914
90.16,2071.0,16.76,12.04,0.31452434275201496
90.74,2350.0,13.08,17.56,0.25657656412069285
92.08,2321.0,6.31,15.59,0.24904024862711902
92.17,2233.0,16.35,12.54,0.3011379026795613
92.46,2148.0,14.33,15.66,0.2797416094738028
87.45,1895.0,11.61,6.4,0.34457165773459364
91.65,2465.0,13.71,13.99,0.273457152290922
92.25,1652.0,8.34,12.01,0.307305548821728
91.39,1993.0,2.14,17.17,0.24304568557457445
91.13,1852.0,11.51,7.63,0.3364825781106312
92.31,2342.0,14.26,5.9,0.33132858672512877
90.02,2001.0,19.15,-4.54,0.44143679995206647
95.27,2120.0,19.46,3.7,0.3743183253076276
90.58,2606.0,-1.44,20.42,0.19367768383093614
93.9,2201.0,15.19,13.56,0.2919445149859083
93.03,2170.0,8.13,15.78,0.2594008911882701
93.49,2337.0,11.62,14.35,0.27017559585540746
98.06,2307.0,8.42,18.59,0.23674621870556334
94.69,2249.0,11.07,7.68,0.31288164048205
95.43,2328.0,17.03,7.01,0.33250580934204643
98.42,2505.0,4.56,16.85,0.22726719407420476
95.27,2234.0,12.97,7.66,0.3196797051351777
96.62,2277.0,14.01,11.13,0.2983317210061411
90.44,2275.0,14.91,5.89,0.3379326598526009
95.24,2581.0,7.63,18.19,0.22655344565148167
92.24,2292.0,15.39,17.32,0.26663471111346687
90.93,2288.0,6.73,10.53,0.28143350363556663
96.83,1868.0,8.7,14.91,0.27824928959521494
93.87,2112.0,17.42,11.09,0.3189672178517461
86.06,1971.0,-2.96,11.75,0.2619890792984019
95.82,2186.0,17.8,6.21,0.3476059623977339
93.78,2361.0,14.23,13.06,0.28447858623252403
92.76,2351.0,5.1,19.36,0.22407312641291646
93.76,2420.0,17.41,6.95,0.33026129231230067
93.61,2073.0,4.12,17.82,0.24070821494284902
94.97,1988.0,12.03,16.51,0.2740709434962386
90.69,2474.0,6.77,20.56,0.21816419068469942
88.66,1791.0,14.91,7.91,0.3505627827983627
93.61,2030.0,8.95,14.57,0.27492701648519774
87.21,1881.0,14.36,12.58,0.31413385928469584
97.04,2537.0,7.45,12.89,0.25591350476191393
90.48,2138.0,13.01,12.87,0.2939330987474648
90.53,2148.0,3.96,16.32,0.24649277792118876
89.36,2257.0,1.24,21.89,0.20651201264849517
95.86,2381.0,7.75,17.7,0.2374605743615284
98.28,2555.0,7.5,18.96,0.2221365964650761
96.86,2153.0,5.7,13.64,0.2637190574114438
92.61,2036.0,13.59,13.08,0.29840794048916763
94.77,2514.0,10.79,11.61,0.27512253958883687
92.87,2528.0,-2.0,12.84,0.23198863239312653
97.89,1973.0,18.27,7.77,0.34887979566323507
96.09,2240.0,15.65,14.05,0.28754621840585726
96.55,2211.0,2.67,17.54,0.23135445203489255
96.0,2412.0,11.16,17.71,0.24545132116314783
93.01,2341.0,9.89,19.17,0.23821581441752213
92.44,2219.0,6.1,14.32,0.25990245820690383
97.75,2221.0,11.76,18.38,0.25096502067097315
97.78,2100.0,16.13,10.22,0.31909446123454066
87.87,1909.0,14.48,5.51,0.35950558393658427
91.71,2172.0,7.9,18.4,0.24457497793032343
87.74,2170.0,10.3,13.86,0.2792938027996181
97.15,2168.0,5.25,15.46,0.2513301856730005
90.52,2370.0,6.0,17.98,0.23376927102399203
94.04,2315.0,3.12,20.28,0.2152353483255632
95.89,2054.0,7.26,6.09,0.31983521125565234
